uniprot_id	protein	sector	sector_short
Q8ZKF8	Cation/acetate symporter ActP (Acetate permease) (Acetate Transporter ActP)	Transport	Tra
Q8ZKG1	CPA1 family Na:H Transport protein	Transport	Tra
Q8ZKG4	Anti-FlhC(2)FlhD(4) factor YdiV (EC 3.1.4.52)	Flagellum and motility including its regulation	Fla
Q8ZKJ9	Bactoprenol-linked glucose translocase	Lipid and cell wall metabolism	Lpb
Q8ZKL0	Pantothenate precursors Transporter PanS	Transport	Tra
Q8ZKM2	protein-N(pi)-phosphohistidine--D-fructose phosphotransferase (EC 2.7.1.202)	Carbon metabolism	Cbn
Q8ZKM5	protein-N(pi)-phosphohistidine--D-fructose phosphotransferase (EC 2.7.1.202)	Carbon metabolism	Cbn
Q8ZKM7	General PTS family enzyme I (EC 2.7.3.9)	Carbon metabolism	Cbn
Q8ZKM8	Fructose-6-phosphate aldolase (EC 4.1.2.-)	Carbon metabolism	Cbn
Q8ZKN1	5'-nucleotidase	Carbon metabolism	Cbn
Q8ZKN3	Small-conductance mechanosensitive channel	Transport	Tra
Q8ZKP1	Cell division protein ZapB	Lipid and cell wall metabolism	Lpb
Q8ZKP2	Glycerol uptake facilitator protein (Aquaglyceroporin)	Transport	Tra
Q8ZKR0	HTH-type transcriptional repressor STM4068	Other	Oth
Q8ZKR5	Periplasmic protein CpxP	Other	Oth
Q8ZKS7	Sulfur carrier protein FdhD	Electron Transport chain	Etc
Q8ZKT0	Protein FdhE	Electron Transport chain	Etc
Q8ZKT5	UPF0761 membrane protein YihY	Other	Oth
Q8ZKV4	Protein for a late step of protoheme IX synthesis	Electron Transport chain	Etc
Q8ZKW1	Low affinity potassium Transport system protein Kup (Kup system potassium uptake protein)	Transport	Tra
Q8ZKW3	Regulatory protein ViaA (VWA interacting with AAA+ ATPase)	Other	Oth
Q8ZKW6	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG (Glucose-inhibited division protein A)	Translation and protein homeostasis	Rib
Q8ZKY0	HTH-type transcriptional regulator YidZ	Other	Oth
Q8ZKY1	Multidrug resistance protein MdtL	Transport	Tra
Q8ZKY2	RNA-directed DNA polymerase (EC 2.7.7.49)	Other	Oth
Q8ZKY8	Sugar phosphatase YidA (EC 3.1.3.23)	Carbon metabolism	Cbn
Q8ZL00	Cytochrome c-type biogenesis protein	Electron Transport chain	Etc
Q8ZL03	Small heat shock protein IbpB (16 kDa heat shock protein B)	Translation and protein homeostasis	Rib
Q8ZL04	Putative Transport protein YidE	Transport	Tra
Q8ZL35	alpha-D-xyloside xylohydrolase (EC 3.2.1.177)	Carbon metabolism	Cbn
Q8ZL37	Sodium/glutamate symporter	Transport	Tra
Q8ZL40	tRNA (guanosine(18)-2'-O)-methyltransferase (EC 2.1.1.34) (tRNA [Gm18] methyltransferase)	Translation and protein homeostasis	Rib
Q8ZL55	Membrane protein	Other	Oth
Q8ZL63	L-lactate permease	Transport	Tra
Q8ZL70	Selenocysteine-specific elongation factor (SelB translation factor)	Translation and protein homeostasis	Rib
Q8ZL93	O-acetyltransferase WecH (EC 2.3.1.-)	Lipid and cell wall metabolism	Lpb
Q8ZLB6	Cellulose biosynthesis protein BcsQ	Lipid and cell wall metabolism	Lpb
Q8ZLB8	Cellulose synthase operon protein C	Lipid and cell wall metabolism	Lpb
Q8ZLB9	Anti-FlhC(2)FlhD(4) factor YdiV	Flagellum and motility including its regulation	Fla
Q8ZLC1	Anti-FlhC(2)FlhD(4) factor YdiV	Flagellum and motility including its regulation	Fla
Q8ZLC6	Lysozyme (EC 3.2.1.17)	Lipid and cell wall metabolism	Lpb
Q8ZLD6	Dipeptide and tripeptide permease B	Transport	Tra
Q8ZLD7	Universal stress protein A	Other	Oth
Q8ZLE4	Uncharacterized MFS-type Transporter YhhS	Transport	Tra
Q8ZLE8	Ribosomal RNA small subunit methyltransferase D (EC 2.1.1.171)	Translation and protein homeostasis	Rib
Q8ZLH5	Rhomboid protease GlpG (EC 3.4.21.105) (Intramembrane serine protease)	Translation and protein homeostasis	Rib
Q8ZLI0	RNA 3'-terminal phosphate cyclase (RNA cyclase) (RNA-3'-phosphate cyclase) (EC 6.5.1.4)	Translation and protein homeostasis	Rib
Q8ZLI1	Antitoxin DinJ	Translation and protein homeostasis	Rib
Q8ZLI2	mRNA interferase toxin YafQ (Endoribonuclease YafQ) (Toxin YafQ)	Translation and protein homeostasis	Rib
Q8ZLI7	Fe/S biogenesis protein NfuA	Electron Transport chain	Etc
Q8ZLJ2	Transcription elongation factor GreB (Transcript cleavage factor GreB)	Translation and protein homeostasis	Rib
Q8ZLJ4	33 kDa chaperonin (Heat shock protein 33 homolog) (HSP33)	Translation and protein homeostasis	Rib
Q8ZLJ5	Heat shock protein 15	Translation and protein homeostasis	Rib
Q8ZLK3	Cell division protein DamX	Lipid and cell wall metabolism	Lpb
Q8ZLK7	Protein TsgA	Translation and protein homeostasis	Rib
Q8ZLL2	Probable ATP-binding protein YheS	Other	Oth
Q8ZLL3	Glutathione-regulated potassium-efflux system protein KefB (K(+)/H(+) antiporter)	Transport	Tra
Q8ZLL4	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	Translation and protein homeostasis	Rib
Q8ZLL6	Peptidyl-prolyl cis-trans isomerase (EC 5.2.1.8)	Translation and protein homeostasis	Rib
Q8ZLM3	HTH-type transcriptional regulator ZntR (Zn(II)-responsive regulator of zntA)	Other	Oth
Q8ZLM7	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	Translation and protein homeostasis	Rib
Q8ZLN4	Efflux pump membrane Transporter	Transport	Tra
Q8ZLN5	Transmembrane protein affecting septum formation and cell membrane permeability	Lipid and cell wall metabolism	Lpb
Q8ZLN9	Sodium/pantothenate symporter (Pantothenate permease)	Transport	Tra
Q8ZLP2	Anti-FlhC(2)FlhD(4) factor YdiV	Flagellum and motility including its regulation	Fla
Q8ZLP3	Cell shape-determining protein MreC (Cell shape protein MreC)	Lipid and cell wall metabolism	Lpb
Q8ZLP5	p-hydroxybenzoic acid efflux pump subunit AaeB (pHBA efflux pump protein B)	Transport	Tra
Q8ZLQ0	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase (EC 2.4.2.52)	Carbon metabolism	Cbn
Q8ZLQ1	peptidase Do (EC 3.4.21.107) (Protease Do)	Translation and protein homeostasis	Rib
Q8ZLQ2	Z-ring associated protein G (Cell division protein ZapG)	Lipid and cell wall metabolism	Lpb
Q8ZLQ3	Cell division protein ZapE (Z ring-associated protein ZapE)	Lipid and cell wall metabolism	Lpb
Q8ZLR1	Cytosine permease	Transport	Tra
Q8ZLR6	Glyoxalase	Carbon metabolism	Cbn
Q8ZLR8	RNase adapter protein RapZ	Translation and protein homeostasis	Rib
Q8ZLR9	Lipopolysaccharide export system protein LptA	Lipid and cell wall metabolism	Lpb
Q8ZLT1	Ribosome-binding factor A	Translation and protein homeostasis	Rib
Q8ZLT5	Aromatic amino acid permease	Transport	Tra
Q8ZLT7	Inner membrane protein	Other	Oth
Q8ZLU2	DnaA initiator-associating protein DiaA	Other	Oth
Q8ZLU4	Penicillin-binding protein activator LpoA (PBP activator LpoA)	Lipid and cell wall metabolism	Lpb
Q8ZLU5	16S rRNA 2'-O-ribose C1402 methyltransferase RsmI	Translation and protein homeostasis	Rib
Q8ZLW1	Threonine/serine Transporter TdcC (H(+)/threonine-serine symporter)	Transport	Tra
Q8ZLW4	HAAAP family Transport protein	Transport	Tra
Q8ZLX1	Serine/threonine Transporter SstT (Na(+)/serine-threonine symporter)	Transport	Tra
Q8ZLX2	Manganese exporter Alx	Transport	Tra
Q8ZLX5	23S rRNA m2G1835 methyltransferase RlmG	Translation and protein homeostasis	Rib
Q8ZLX6	2,4-dieonyl-coa reductase (EC 1.3.1.34)	Carbon metabolism	Cbn
Q8ZLZ0	Thiol:disulfide interchange protein DsbL	Translation and protein homeostasis	Rib
Q8ZLZ8	NADPH:quinone oxidoreductase MdaB (EC 1.6.5.10)	Electron Transport chain	Etc
Q8ZM03	UPF0313 protein YgiQ	Other	Oth
Q8ZM09	Uncharacterized oxidoreductase YghA	Electron Transport chain	Etc
Q8ZM17	Processing element for hydrogenase-2	Electron Transport chain	Etc
Q8ZM27	Anti-adapter protein IraD	Other	Oth
Q8ZM36	Virulence protein STM3117	Other	Oth
Q8ZM38	Nucleoside permease NupG	Transport	Tra
Q8ZM44	Heme chaperone HemW	Electron Transport chain	Etc
Q8ZM47	Pyridoxal phosphate homeostasis protein	Amino acid biosynthesis	Aab
Q8ZM50	Putative pre-16S rRNA nuclease (EC 3.1.-.-)	Translation and protein homeostasis	Rib
Q8ZM52	Ribosomal RNA small subunit methyltransferase E (EC 2.1.1.193)	Translation and protein homeostasis	Rib
Q8ZM68	Arginine exporter protein ArgO	Transport	Tra
Q8ZM72	Xaa-Pro aminopeptidase (EC 3.4.11.9)	Translation and protein homeostasis	Rib
Q8ZM80	tRNA-modifying protein YgfZ	Translation and protein homeostasis	Rib
Q8ZM94	Nickel/cobalt efflux system RcnA	Transport	Tra
Q8ZMA0	L-arabinose: proton symport protein	Transport	Tra
Q8ZMA5	Lysophospholipid Transporter LplT	Transport	Tra
Q8ZMC0	Membrane-bound lytic murein transglycosylase A (EC 4.2.2.n1)	Lipid and cell wall metabolism	Lpb
Q8ZMC1	tRNA threonylcarbamoyladenosine dehydratase	Translation and protein homeostasis	Rib
Q8ZMC3	Cysteine desulfurase (EC 2.8.1.7)	Amino acid biosynthesis	Aab
Q8ZMD1	HAAAP family serine Transport protein	Transport	Tra
Q8ZMD8	D-glucarate dehydratase (EC 4.2.1.40)	Carbon metabolism	Cbn
Q8ZME3	Antitoxin ParD	Translation and protein homeostasis	Rib
Q8ZME6	Helicase	Other	Oth
Q8ZMG4	L-threonate dehydrogenase (EC 1.1.1.411)	Carbon metabolism	Cbn
Q8ZMI7	Hydrogenase maturation factor HypB	Electron Transport chain	Etc
Q8ZMJ0	Hydrogenase 3, large subunit	Electron Transport chain	Etc
Q8ZMJ1	Hydrogenase activity	Electron Transport chain	Etc
Q8ZMJ3	Hydrogenase 3 maturation protease (EC 3.4.23.51)	Electron Transport chain	Etc
Q8ZMJ6	Nitric oxide reductase FlRd-NAD(+) reductase (EC 1.18.1.-)	Electron Transport chain	Etc
Q8ZMK5	Regulatory protein RecX	Other	Oth
Q8ZMK8	MFS superfamily multidrug Transport protein	Transport	Tra
Q8ZMK9	Multidrug resistance secretion protein	Transport	Tra
Q8ZML6	L-alanine exporter AlaE	Transport	Tra
Q8ZMS3	Site-specific DNA-methyltransferase (EC 2.1.1.72)	Other	Oth
Q8ZMS4	Probable replication endonuclease from prophage-like region (EC 3.1.-.-)	Other	Oth
Q8ZMT7	Lysozyme (EC 3.2.1.17)	Lipid and cell wall metabolism	Lpb
Q8ZMW1	DNA repair protein RecN (Recombination protein N)	Other	Oth
Q8ZMW8	Outer membrane protein assembly factor BamD	Lipid and cell wall metabolism	Lpb
Q8ZMX1	Alpha-ketoglutarate permease	Transport	Tra
Q8ZMX4	Thioredoxin	Translation and protein homeostasis	Rib
Q8ZMX5	Cysteine/O-acetylserine efflux protein	Transport	Tra
Q8ZMX8	tRNA1(Val) (adenine(37)-N6)-methyltransferase (EC 2.1.1.223)	Translation and protein homeostasis	Rib
Q8ZMY0	Anti-sigma-E factor RseA	Other	Oth
Q8ZMY9	Lysozyme (EC 3.2.1.17)	Lipid and cell wall metabolism	Lpb
Q8ZN33	POT family, di-/tripeptide Transport protein	Transport	Tra
Q8ZN34	Cadaverine/lysine antiporter	Transport	Tra
Q8ZN35	Transcriptional activator of cad operon	Other	Oth
Q8ZN38	Nickel/cobalt efflux system	Transport	Tra
Q8ZN41	Co-chaperone protein HscB (Hsc20)	Translation and protein homeostasis	Rib
Q8ZN42	Chaperone protein HscA (Hsc66)	Translation and protein homeostasis	Rib
Q8ZN48	Anaerobic dimethylsulfoxide reductase	Electron Transport chain	Etc
Q8ZN67	Anti-FlhC(2)FlhD(4) factor YdiV	Flagellum and motility including its regulation	Fla
Q8ZN68	Arsenate reductase (EC 1.20.4.1)	Electron Transport chain	Etc
Q8ZN72	Outer membrane protein assembly factor BamC	Lipid and cell wall metabolism	Lpb
Q8ZN92	Uncharacterized HTH-type transcriptional regulator YfeR	Other	Oth
Q8ZN99	Anti-FlhC(2)FlhD(4) factor YdiV	Flagellum and motility including its regulation	Fla
Q8ZNA0	Nucleoside permease	Transport	Tra
Q8ZNA5	Long-chain fatty acid Transport protein (Outer membrane FadL protein)	Transport	Tra
Q8ZNB8	Uncharacterized MFS-type Transporter YfcJ	Transport	Tra
Q8ZNC1	Cell division protein DedD	Lipid and cell wall metabolism	Lpb
Q8ZND7	UPF0208 membrane protein YfbV	Other	Oth
Q8ZND9	Uncharacterized Transporter YfbS	Transport	Tra
Q8ZNE1	Probable HTH-type transcriptional regulator LrhA	Other	Oth
Q8ZNG6	Glycerol-3-phosphate Transporter	Transport	Tra
Q8ZNH4	Ecotin	Other	Oth
Q8ZNH5	Ferredoxin-type protein NapF	Electron Transport chain	Etc
Q8ZNH9	Cytochrome c-type protein	Electron Transport chain	Etc
Q8ZNI0	Cytochrome c-type biogenesis protein	Electron Transport chain	Etc
Q8ZNJ7	Bcr/CflA family efflux Transporter	Transport	Tra
Q8ZNK1	Anti-FlhC(2)FlhD(4) factor YdiV	Flagellum and motility including its regulation	Fla
Q8ZNK7	UPF0324 inner membrane protein YeiH	Other	Oth
Q8ZNL0	Outer membrane porin	Transport	Tra
Q8ZNL2	Phosphoserine phosphatase (EC 3.1.3.3)	Amino acid biosynthesis	Aab
Q8ZNQ4	Heat shock protein (Hsp70/DnaK)	Translation and protein homeostasis	Rib
Q8ZNQ8	UPF0053 protein YegH	Other	Oth
Q8ZNR7	Multidrug-efflux Transporter	Transport	Tra
Q8ZNS7	Porin	Transport	Tra
Q8ZNS8	Cell division protein DrpB (Division ring protein B)	Lipid and cell wall metabolism	Lpb
Q8ZNT1	Very short patch repair endonuclease (EC 3.1.-.-)	Other	Oth
Q8ZNV0	PF03932 family protein CutC	Other	Oth
Q8ZNV9	Murein DD-endopeptidase MepM	Lipid and cell wall metabolism	Lpb
Q8ZNW7	Protein YebF	Other	Oth
Q8ZNX1	Copper resistance protein C	Transport	Tra
Q8ZNX2	Copper resistance protein D	Transport	Tra
Q8ZP00	Manganese exporter MntP	Transport	Tra
Q8ZP01	UPF0266 membrane protein YobD	Other	Oth
Q8ZP05	UPF0053 inner membrane protein YoaE	Other	Oth
Q8ZP06	Anti-FlhC(2)FlhD(4) factor YdiV (EC 3.1.4.52)	Flagellum and motility including its regulation	Fla
Q8ZP09	Ribonuclease D (RNase D) (EC 3.1.13.5)	Translation and protein homeostasis	Rib
Q8ZP10	Septum site-determining protein MinD (Cell division inhibitor MinD)	Lipid and cell wall metabolism	Lpb
Q8ZP14	Na(+)/H(+) antiporter NhaB (Sodium/proton antiporter NhaB)	Transport	Tra
Q8ZP18	Resistance protein MccF	Other	Oth
Q8ZP31	C4-dicarboxylic acid Transporter DauA	Transport	Tra
Q8ZP44	Phosphoesterase	Other	Oth
Q8ZP49	UPF0259 membrane protein YciC	Other	Oth
Q8ZP50	Outer membrane protein W	Transport	Tra
Q8ZP54	Exoribonuclease 2 (EC 3.1.13.1)	Translation and protein homeostasis	Rib
Q8ZP64	UPF0283 membrane protein YcjF	Other	Oth
Q8ZP71	Aldo/keto reductase family	Carbon metabolism	Cbn
Q8ZP84	Universal stress protein E	Other	Oth
Q8ZP86	Methyl-accepting chemotaxis protein	Flagellum and motility including its regulation	Fla
Q8ZP87	ATP-dependent RNA helicase DbpA (EC 3.6.4.13)	Translation and protein homeostasis	Rib
Q8ZP95	RNA helicase (EC 3.6.4.13)	Translation and protein homeostasis	Rib
Q8ZP97	Cytochrome b(561) (EC 1.10.2.-)	Electron Transport chain	Etc
Q8ZPA0	ABC-type Transport system probable membrane spanning protein	Transport	Tra
Q8ZPA1	ABC-type polar amino acid Transport system	Transport	Tra
Q8ZPA2	Amino acid ABC Transporter permease component	Transport	Tra
Q8ZPA6	Secreted effector protein SteB (Salmonella translocated effector B)	Flagellum and motility including its regulation	Fla
Q8ZPB3	Glucans biosynthesis protein D	Lipid and cell wall metabolism	Lpb
Q8ZPB5	Oxidase	Electron Transport chain	Etc
Q8ZPB6	Aminoglycoside N(6')-acetyltransferase type 1 (EC 2.3.1.82)	Other	Oth
Q8ZPB7	Putative epimerase LsrE	Carbon metabolism	Cbn
Q8ZPC2	K+-tellurite ethidium and proflavin Transport protein	Transport	Tra
Q8ZPD7	Secreted effector protein SteA (Salmonella translocated effector A)	Flagellum and motility including its regulation	Fla
Q8ZPH6	Hydrogenase maturation factor HypA	Electron Transport chain	Etc
Q8ZPH7	Outer membrane protein	Lipid and cell wall metabolism	Lpb
Q8ZPI0	Voltage-dependent anion channel-forming protein YneE	Transport	Tra
Q8ZPJ2	UPF0060 membrane protein YnfA	Other	Oth
Q8ZPJ4	UPF0257 lipoprotein YnfC	Lipid and cell wall metabolism	Lpb
Q8ZPK0	Tat proofreading chaperone DmsD (DMSO reductase maturation protein)	Translation and protein homeostasis	Rib
Q8ZPK9	Acid shock protein	Other	Oth
Q8ZPL4	Outer membrane protein N	Lipid and cell wall metabolism	Lpb
Q8ZPM3	Ion-translocating oxidoreductase complex subunit D (EC 7.-.-.-)	Electron Transport chain	Etc
Q8ZPN4	Uncharacterized Transporter YdhK	Transport	Tra
Q8ZPP0	Bcr/CflA family efflux Transporter	Transport	Tra
Q8ZPQ0	LysM domain protein	Lipid and cell wall metabolism	Lpb
Q8ZPQ1	Cysteine desulfuration protein SufE	Electron Transport chain	Etc
Q8ZPR6	Probable acyl-CoA dehydrogenase YdiO	Carbon metabolism	Cbn
Q8ZPT1	Endonuclease (EC 3.1.30.-)	Other	Oth
Q8ZPU6	Excinuclease cho (EC 3.1.25.-)	Other	Oth
Q8ZPU7	Periplasmic chaperone Spy (Spheroplast protein Y)	Translation and protein homeostasis	Rib
Q8ZPV6	Protease 4 (Endopeptidase IV) (Signal peptide peptidase)	Translation and protein homeostasis	Rib
Q8ZPW2	Serine/threonine kinase YeaG (EC 2.7.11.1)	Other	Oth
Q8ZPW4	Diguanylate cyclase (EC 2.7.7.65)	Other	Oth
Q8ZPZ1	Ribosomal large subunit pseudouridine synthase E (EC 5.4.99.20)	Translation and protein homeostasis	Rib
Q8ZPZ5	High frequency lysogenization protein HflD homolog	Translation and protein homeostasis	Rib
Q8ZQ10	Outer membrane receptor for Fe(III)-coprogen	Transport	Tra
Q8ZQ13	Endolytic murein transglycosylase (EC 4.2.2.29)	Lipid and cell wall metabolism	Lpb
Q8ZQ18	[Ribosomal protein uS5]-alanine N-acetyltransferase (EC 2.3.1.267)	Translation and protein homeostasis	Rib
Q8ZQ19	Multidrug resistance protein MdtH	Transport	Tra
Q8ZQ25	Multidrug resistance protein MdtG	Transport	Tra
Q8ZQ26	Glucans biosynthesis glucosyltransferase H (EC 2.4.1.-)	Lipid and cell wall metabolism	Lpb
Q8ZQ27	Glucans biosynthesis protein C (EC 2.1.-.-)	Lipid and cell wall metabolism	Lpb
Q8ZQ46	Putative tartrate Transporter	Transport	Tra
Q8ZQ53	Copper resistance transcriptional regulatory protein	Other	Oth
Q8ZQ54	Sensor protein (EC 2.7.13.3)	Other	Oth
Q8ZQ55	Dipeptidase (EC 3.4.-.-)	Translation and protein homeostasis	Rib
Q8ZQ64	23S rRNA m5C1962 methyltransferase RlmI	Translation and protein homeostasis	Rib
Q8ZQ65	DNA 3'-5' helicase (EC 5.6.2.4)	Other	Oth
Q8ZQ68	Macrodomain Ter protein	Other	Oth
Q8ZQ69	Endopeptidase La (EC 3.4.21.53)	Translation and protein homeostasis	Rib
Q8ZQ70	Ribosome modulation factor (RMF)	Translation and protein homeostasis	Rib
Q8ZQ75	Cell division protein ZapC	Lipid and cell wall metabolism	Lpb
Q8ZQ78	Abasic site processing protein (EC 3.4.-.-)	Other	Oth
Q8ZQ99	Lysozyme (EC 3.2.1.17)	Lipid and cell wall metabolism	Lpb
Q8ZQB4	Murein endopeptidase K	Lipid and cell wall metabolism	Lpb
Q8ZQB5	Periplasmic protein	Other	Oth
Q8ZQB6	Chromosome partition protein MukE	Other	Oth
Q8ZQB8	Envelope biogenesis factor ElyC	Lipid and cell wall metabolism	Lpb
Q8ZQC5	Zn-dependent protease with chaperone function (EC 3.4.24.-)	Translation and protein homeostasis	Rib
Q8ZQD0	Pyruvate formate-lyase-activating enzyme (EC 1.97.1.4)	Carbon metabolism	Cbn
Q8ZQD2	Uncharacterized MFS-type Transporter YcaD	Transport	Tra
Q8ZQD4	Outer-membrane lipoprotein carrier protein	Lipid and cell wall metabolism	Lpb
Q8ZQE3	ATP-dependent Clp protease ATP-binding subunit ClpA	Translation and protein homeostasis	Rib
Q8ZQE5	Membrane protein	Other	Oth
Q8ZQF3	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	Lipid and cell wall metabolism	Lpb
Q8ZQF7	Superoxide dismutase [Cu-Zn] (EC 1.15.1.1)	Other	Oth
Q8ZQK4	Putative Transport protein YbjL	Transport	Tra
Q8ZQK8	Multidrug Transporter MdfA	Transport	Tra
Q8ZQL6	Electron transfer flavoprotein-ubiquinone oxidoreductase (ETF-QO) (EC 1.5.5.1)	Electron Transport chain	Etc
Q8ZQL8	Electron transfer flavoprotein subunit alpha	Electron Transport chain	Etc
Q8ZQL9	Electron transfer flavoprotein subunit beta	Electron Transport chain	Etc
Q8ZQN4	Ribosomal RNA large subunit methyltransferase F (EC 2.1.1.181)	Translation and protein homeostasis	Rib
Q8ZQP0	UPF0194 membrane protein YbhG	Other	Oth
Q8ZQP1	Probable multidrug ABC Transporter ATP-binding protein YbhF	Transport	Tra
Q8ZQP2	Transport permease protein	Transport	Tra
Q8ZQR0	Histidine utilization repressor	Other	Oth
Q8ZQS5	2-(5''-triphosphoribosyl)-3'-dephosphocoenzyme-A synthase (EC 2.4.2.52)	Carbon metabolism	Cbn
Q8ZQT3	Zinc Transporter ZitB	Transport	Tra
Q8ZQT4	Cell division coordinator CpoB	Lipid and cell wall metabolism	Lpb
Q8ZQT5	Tol-Pal system protein TolB	Lipid and cell wall metabolism	Lpb
Q8ZQW7	Putrescine Transporter PotE	Transport	Tra
Q8ZQX1	Flavodoxin 1	Electron Transport chain	Etc
Q8ZQX4	Uncharacterized lipoprotein ChiQ	Lipid and cell wall metabolism	Lpb
Q8ZQZ4	2-keto-3-deoxygluconate permease 2 (KDG permease 2)	Transport	Tra
Q8ZR16	RNase I (EC 3.1.27.6)	Translation and protein homeostasis	Rib
Q8ZR22	Thiol:disulfide interchange protein	Translation and protein homeostasis	Rib
Q8ZR35	Enterobactin exporter EntS	Transport	Tra
Q8ZR52	Mechanosensing system component YbdG (Mechanosensitive channel homolog YbdG)	Transport	Tra
Q8ZR56	Oxidoreductase	Electron Transport chain	Etc
Q8ZR64	Probable cyclic di-GMP phosphodiesterase STM0551 (EC 3.1.4.52)	Other	Oth
Q8ZR86	HTH-type transcriptional repressor AllR	Other	Oth
Q8ZR99	CPA2 family Transport protein	Transport	Tra
Q8ZRA1	Acetyl esterase (EC 3.1.1.-)	Other	Oth
Q8ZRA5	Small-conductance mechanosensitive channel	Transport	Tra
Q8ZRB0	Anti-FlhC(2)FlhD(4) factor YdiV (EC 3.1.4.52)	Flagellum and motility including its regulation	Fla
Q8ZRB6	HMP-PP phosphatase (EC 3.6.1.-)	Carbon metabolism	Cbn
Q8ZRB8	Periplasmic chaperone PpiD (Periplasmic folding chaperone)	Translation and protein homeostasis	Rib
Q8ZRD3	Transcription antitermination protein NusB	Translation and protein homeostasis	Rib
Q8ZRD9	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17)	Translation and protein homeostasis	Rib
Q8ZRE2	Nuclease SbcCD subunit D	Other	Oth
Q8ZRE3	Nuclease SbcCD subunit C	Other	Oth
Q8ZRF6	D-alanyl-D-alanine-carboxypeptidase/endopeptidase AmpH	Lipid and cell wall metabolism	Lpb
Q8ZRG9	Efflux pump membrane Transporter	Transport	Tra
Q8ZRH6	Anti-FlhC(2)FlhD(4) factor YdiV (EC 3.1.4.52)	Flagellum and motility including its regulation	Fla
Q8ZRM4	UPF0294 protein YafD	Other	Oth
Q8ZRM7	Methylglyoxal reductase DkgB (EC 1.1.1.-)	Carbon metabolism	Cbn
Q8ZRN2	tRNA (adenine(37)-N6)-methyltransferase	Translation and protein homeostasis	Rib
Q8ZRN5	tRNA(Ile)-lysidine synthase (EC 6.3.4.19)	Translation and protein homeostasis	Rib
Q8ZRP0	Outer membrane protein assembly factor BamA	Lipid and cell wall metabolism	Lpb
Q8ZRQ2	Outer membrane protein receptor / Transporter for ferrichrome, colicin M, and phages T1, T5, and phi80	Transport	Tra
Q8ZRQ5	RNA 2',3'-cyclic phosphodiesterase (EC 3.1.4.58)	Translation and protein homeostasis	Rib
Q8ZRQ6	Sugar fermentation stimulation protein A	Carbon metabolism	Cbn
Q8ZRQ7	Glutamyl-Q tRNA(Asp) synthetase (EC 6.1.1.-)	Translation and protein homeostasis	Rib
Q8ZRR8	Transport permease protein	Transport	Tra
Q8ZRU0	Cell division protein FtsZ	Lipid and cell wall metabolism	Lpb
Q8ZRU8	16S rRNA m(4)C1402 methyltransferase RsmH	Translation and protein homeostasis	Rib
Q8ZRU9	Transcriptional regulator MraZ	Other	Oth
Q8ZRV0	HTH-type transcriptional regulator SgrR	Other	Oth
Q8ZRV7	DNA polymerase (EC 2.7.7.7)	Other	Oth
Q8ZRW8	Ferredoxin-like protein FixX	Electron Transport chain	Etc
Q8ZRW9	Protein FixC	Electron Transport chain	Etc
Q8ZRX0	Protein FixA	Electron Transport chain	Etc
Q8ZRX1	L-carnitine/gamma-butyrobetaine antiporter	Transport	Tra
Q8ZRX4	Crotonobetaine/carnitine--CoA ligase (EC 6.2.1.48)	Carbon metabolism	Cbn
Q8ZRX6	Carnitine operon protein CaiE	Carbon metabolism	Cbn
Q8ZRZ3	Na(+)/H(+) antiporter NhaA (Sodium/proton antiporter NhaA)	Transport	Tra
Q8ZS09	Chitinase (EC 3.2.1.14)	Lipid and cell wall metabolism	Lpb
Q93GL6	tRNA(fMet)-specific endonuclease VapC (EC 3.1.-.-)	Translation and protein homeostasis	Rib
Q93GL9	TraT complement resistance protein	Other	Oth
Q93GP5	Uncharacterized protein YubM	Other	Oth
Q93GQ3	Methyltransferase (EC 2.1.1.-)	Translation and protein homeostasis	Rib
Q93GS9	Phospholipase D (EC 3.1.4.4)	Lipid and cell wall metabolism	Lpb
Q93IM6	Putative ion-Transport protein YfeO	Transport	Tra
Q9F0N8	Anti-adapter protein IraM (Sigma S-regulator RssC)	Other	Oth
Q9FA48	Nickel/cobalt efflux system	Transport	Tra
Q9KIB9	Secreted effector protein SifB	Flagellum and motility including its regulation	Fla
Q9L6M1	Transcription antitermination protein RfaH	Other	Oth
Q9L6N6	Homoserine/homoserine lactone efflux protein	Transport	Tra
Q9L6N7	Threonine efflux protein	Transport	Tra
Q9L6P1	Protein RarD	Other	Oth
Q9L6Q5	96% identity with E. coli hemY protein (HEMY)	Carbon metabolism	Cbn
Q9L6Q9	Lipid III flippase	Lipid and cell wall metabolism	Lpb
Q9L6R2	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	Carbon metabolism	Cbn
Q9L7R3	Porin OmpL	Transport	Tra
Q9L7R4	Putative sulfoquinovose importer	Transport	Tra
Q9L7R5	Putative 2,3-dihydroxypropane-1-sulfonate exporter	Transport	Tra
Q9L9I6	Regulator of sigma D	Other	Oth
Q9RM66	Universal stress protein C	Other	Oth
Q9RPU4	Homoprotocatechuate degradative operon repressor	Other	Oth
